run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230515-11:19:31-284647,runattr,,,configname,General,,
General-0-20230515-11:19:31-284647,runattr,,,datetime,20230515-11:19:31,,
General-0-20230515-11:19:31-284647,runattr,,,datetimef,20230515-111931,,
General-0-20230515-11:19:31-284647,runattr,,,experiment,General,,
General-0-20230515-11:19:31-284647,runattr,,,inifile,omnetpp.ini,,
General-0-20230515-11:19:31-284647,runattr,,,iterationvars,,,
General-0-20230515-11:19:31-284647,runattr,,,iterationvarsd,,,
General-0-20230515-11:19:31-284647,runattr,,,iterationvarsf,,,
General-0-20230515-11:19:31-284647,runattr,,,measurement,,,
General-0-20230515-11:19:31-284647,runattr,,,network,Network,,
General-0-20230515-11:19:31-284647,runattr,,,processid,284647,,
General-0-20230515-11:19:31-284647,runattr,,,repetition,0,,
General-0-20230515-11:19:31-284647,runattr,,,replication,#0,,
General-0-20230515-11:19:31-284647,runattr,,,resultdir,results,,
General-0-20230515-11:19:31-284647,runattr,,,runnumber,0,,
General-0-20230515-11:19:31-284647,runattr,,,seedset,0,,
General-0-20230515-11:19:31-284647,config,,,network,Network,,
General-0-20230515-11:19:31-284647,config,,,sim-time-limit,200s,,
General-0-20230515-11:19:31-284647,config,,,Network.nodeTx.gen.generationInterval,exponential(0.15),,
General-0-20230515-11:19:31-284647,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230515-11:19:31-284647,config,,,Network.queue1.serviceTime,0,,
General-0-20230515-11:19:31-284647,config,,,Network.queue2.serviceTime,0,,
General-0-20230515-11:19:31-284647,config,,,Network.queue1.bufferSize,100,,
General-0-20230515-11:19:31-284647,config,,,Network.queue2.bufferSize,200000,,
General-0-20230515-11:19:31-284647,config,,,Network.nodeRx.traRx.bufferSize,100,,
General-0-20230515-11:19:31-284647,config,,,Network.nodeTx.traTx.bufferSize,20000000,,
