run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230515-12:43:05-288071,runattr,,,configname,General,,
General-0-20230515-12:43:05-288071,runattr,,,datetime,20230515-12:43:05,,
General-0-20230515-12:43:05-288071,runattr,,,datetimef,20230515-124305,,
General-0-20230515-12:43:05-288071,runattr,,,experiment,General,,
General-0-20230515-12:43:05-288071,runattr,,,inifile,omnetpp.ini,,
General-0-20230515-12:43:05-288071,runattr,,,iterationvars,,,
General-0-20230515-12:43:05-288071,runattr,,,iterationvarsd,,,
General-0-20230515-12:43:05-288071,runattr,,,iterationvarsf,,,
General-0-20230515-12:43:05-288071,runattr,,,measurement,,,
General-0-20230515-12:43:05-288071,runattr,,,network,Network,,
General-0-20230515-12:43:05-288071,runattr,,,processid,288071,,
General-0-20230515-12:43:05-288071,runattr,,,repetition,0,,
General-0-20230515-12:43:05-288071,runattr,,,replication,#0,,
General-0-20230515-12:43:05-288071,runattr,,,resultdir,results,,
General-0-20230515-12:43:05-288071,runattr,,,runnumber,0,,
General-0-20230515-12:43:05-288071,runattr,,,seedset,0,,
General-0-20230515-12:43:05-288071,config,,,network,Network,,
General-0-20230515-12:43:05-288071,config,,,sim-time-limit,200s,,
General-0-20230515-12:43:05-288071,config,,,Network.nodeTx.gen.generationInterval,exponential(0.25),,
General-0-20230515-12:43:05-288071,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230515-12:43:05-288071,config,,,Network.queue1.serviceTime,0,,
General-0-20230515-12:43:05-288071,config,,,Network.queue2.serviceTime,0,,
General-0-20230515-12:43:05-288071,config,,,Network.queue1.bufferSize,100,,
General-0-20230515-12:43:05-288071,config,,,Network.queue2.bufferSize,200000,,
General-0-20230515-12:43:05-288071,config,,,Network.nodeRx.traRx.bufferSize,100,,
General-0-20230515-12:43:05-288071,config,,,Network.nodeTx.traTx.bufferSize,20000000,,
