run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230515-12:43:45-288181,runattr,,,configname,General,,
General-0-20230515-12:43:45-288181,runattr,,,datetime,20230515-12:43:45,,
General-0-20230515-12:43:45-288181,runattr,,,datetimef,20230515-124345,,
General-0-20230515-12:43:45-288181,runattr,,,experiment,General,,
General-0-20230515-12:43:45-288181,runattr,,,inifile,omnetpp.ini,,
General-0-20230515-12:43:45-288181,runattr,,,iterationvars,,,
General-0-20230515-12:43:45-288181,runattr,,,iterationvarsd,,,
General-0-20230515-12:43:45-288181,runattr,,,iterationvarsf,,,
General-0-20230515-12:43:45-288181,runattr,,,measurement,,,
General-0-20230515-12:43:45-288181,runattr,,,network,Network,,
General-0-20230515-12:43:45-288181,runattr,,,processid,288181,,
General-0-20230515-12:43:45-288181,runattr,,,repetition,0,,
General-0-20230515-12:43:45-288181,runattr,,,replication,#0,,
General-0-20230515-12:43:45-288181,runattr,,,resultdir,results,,
General-0-20230515-12:43:45-288181,runattr,,,runnumber,0,,
General-0-20230515-12:43:45-288181,runattr,,,seedset,0,,
General-0-20230515-12:43:45-288181,config,,,network,Network,,
General-0-20230515-12:43:45-288181,config,,,sim-time-limit,200s,,
General-0-20230515-12:43:45-288181,config,,,Network.nodeTx.gen.generationInterval,exponential(0.5),,
General-0-20230515-12:43:45-288181,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230515-12:43:45-288181,config,,,Network.queue1.serviceTime,0,,
General-0-20230515-12:43:45-288181,config,,,Network.queue2.serviceTime,0,,
General-0-20230515-12:43:45-288181,config,,,Network.queue1.bufferSize,100,,
General-0-20230515-12:43:45-288181,config,,,Network.queue2.bufferSize,200000,,
General-0-20230515-12:43:45-288181,config,,,Network.nodeRx.traRx.bufferSize,100,,
General-0-20230515-12:43:45-288181,config,,,Network.nodeTx.traTx.bufferSize,20000000,,
