run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230515-12:48:28-288827,runattr,,,configname,General,,
General-0-20230515-12:48:28-288827,runattr,,,datetime,20230515-12:48:28,,
General-0-20230515-12:48:28-288827,runattr,,,datetimef,20230515-124828,,
General-0-20230515-12:48:28-288827,runattr,,,experiment,General,,
General-0-20230515-12:48:28-288827,runattr,,,inifile,omnetpp.ini,,
General-0-20230515-12:48:28-288827,runattr,,,iterationvars,,,
General-0-20230515-12:48:28-288827,runattr,,,iterationvarsd,,,
General-0-20230515-12:48:28-288827,runattr,,,iterationvarsf,,,
General-0-20230515-12:48:28-288827,runattr,,,measurement,,,
General-0-20230515-12:48:28-288827,runattr,,,network,Network,,
General-0-20230515-12:48:28-288827,runattr,,,processid,288827,,
General-0-20230515-12:48:28-288827,runattr,,,repetition,0,,
General-0-20230515-12:48:28-288827,runattr,,,replication,#0,,
General-0-20230515-12:48:28-288827,runattr,,,resultdir,results,,
General-0-20230515-12:48:28-288827,runattr,,,runnumber,0,,
General-0-20230515-12:48:28-288827,runattr,,,seedset,0,,
General-0-20230515-12:48:28-288827,config,,,network,Network,,
General-0-20230515-12:48:28-288827,config,,,sim-time-limit,200s,,
General-0-20230515-12:48:28-288827,config,,,Network.nodeTx.gen.generationInterval,exponential(0.5),,
General-0-20230515-12:48:28-288827,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230515-12:48:28-288827,config,,,Network.queue1.serviceTime,0,,
General-0-20230515-12:48:28-288827,config,,,Network.queue2.serviceTime,0,,
General-0-20230515-12:48:28-288827,config,,,Network.queue1.bufferSize,100,,
General-0-20230515-12:48:28-288827,config,,,Network.queue2.bufferSize,200000,,
General-0-20230515-12:48:28-288827,config,,,Network.nodeRx.traRx.bufferSize,100,,
General-0-20230515-12:48:28-288827,config,,,Network.nodeTx.traTx.bufferSize,20000000,,
General-0-20230515-12:48:28-288827,vector,Network.nodeTx.gen,PacketsSends,,,"0.397937252283 0.847217446525 1.475182825549 2.404984931586 2.866596497321 3.842369165263 4.235969735254 5.175451762355 5.45097600569 5.939479218887 6.458558869219 6.70112295108 6.988882549521 7.16546211909 8.277224330108 8.306416664655 9.963872804619 10.12305087504 10.364851927514 10.689575101639 11.474023160451 12.310128760613 12.686465817269 13.01340710088 13.43312352733 13.682559531838 14.981686574762 15.885871206899 15.922713884632 16.128502882753 16.174083395815 16.696389649969 16.706602444169 16.936226512797 17.829970344516 19.405055308854 20.157947438173 20.233562865005 21.253719993976 22.274166101932 24.196777036503 24.517631622842 25.320251401373 26.127252438819 26.436717168632 26.804199379227 27.562467366222 28.130436837077 28.193374041796 28.830987892908 29.341703830083 29.777864427604 29.855229267854 30.240646597088 31.687856836082 32.398539176129 32.767452822007 32.823425902323 33.091208762437 33.412056113453 33.565696289529 33.668797930544 34.41292534342 35.080570435732 35.385111647324 35.507135892692 35.927303245498 35.999942259144 36.009426543745 36.205311949083 36.686002418616 36.767070663339 37.240569001926 37.366289967963 37.846063956647 38.090342481301 39.52929999194 40.693756679047 41.266326156397 41.565199194806 41.787958442332 42.26270573408 42.549971937451 43.713147468298 44.311201368027 44.363481980915 44.394539626148 46.144646468375 46.69410270215 47.223519767894 47.778818490738 47.872531523747 47.990634876788 48.212336891098 48.281351235312 48.975872580208 49.165353562349 49.633384342235 49.859435372347 50.055991650999 50.478205547763 50.49779712597 50.786459281373 51.289394783956 53.516643207044 55.113116528071 55.166934082149 55.695847288825 55.812998048213 56.317007670923 56.404964443636 59.085014618758 59.614385976305 60.050343903118 60.196384169752 60.463916508294 60.77788729879 61.099777799591 61.23991630383 61.728348340865 61.814912068938 62.021162683899 62.079640388795 62.641224539562 63.175260638137 63.366038559824 63.44039469445 64.193712361086 64.30315265934 65.796747605266 66.026754584136 66.569889274575 67.430055103433 67.436887392648 67.48795983341 67.975510800488 68.88542026013 69.445327443007 69.495844830661 71.282639016833 73.157154746625 74.209815397021 74.525983695219 74.882275491886 76.763239134138 76.79190259735 77.256141845801 77.556115289122 78.228237925198 78.238332989271 78.2583211388 78.549760333233 78.715965453715 80.661750515138 80.725778897794 80.948488628754 81.124076673445 81.451899815627 81.51509413384 82.098530897114 82.289881371545 83.351999970046 83.619442157924 84.871398049467 84.904546750208 85.026744474249 85.616339237782 86.032760995815 86.4508097618 87.452430023054 87.606637443103 87.962261411712 88.332640886936 89.575432065424 89.624757219633 90.894909473612 91.323857294149 91.367242535319 92.691870499657 92.854540707422 93.046320814471 93.051021189803 93.601444144848 94.525107970349 94.595773327129 95.116663654219 95.746630559273 96.667271795017 96.83809887853 96.991857740411 97.093032959695 97.346633021323 97.788197542303 98.190596242204 98.200752471602 98.290878597594 99.173749133801 99.404614581823 99.406967852069 99.486138605184 100.05245567617 100.473997192244 100.631358022671 101.239612349389 101.903991286264 102.074164655382 103.711736244239 103.995688320979 104.138698807233 104.84421101188 105.273407495794 105.525579399088 105.973874834481 107.105741622411 107.530352028193 108.039681393202 108.165891389648 109.276644838885 110.802785667327 111.372589649093 111.668901662819 111.967091359984 112.903821299913 114.825324591535 115.426443875158 115.488207198839 115.664717265476 116.393126544758 117.233587647031 117.498948895339 117.751458269216 118.314099277638 119.378848975672 119.522554213707 119.95782212687 120.145691548073 121.213106773065 122.895291999591 123.484983466413 123.928914171631 124.574868806031 125.113786248099 125.461685978549 125.842619864197 127.405354043026 127.536382663864 128.052781169187 128.303936568317 128.579634563384 129.061861346131 129.528062786334 129.850115140495 129.859805031169 130.177368888984 130.356832496919 130.986354255551 131.526014354879 131.69584672117 131.867146533519 132.108964376814 132.5901519047 133.281641507968 133.561622043005 134.61534584548 134.688132834704 134.742406383951 134.919518450074 134.967979827362 135.389924063657 135.608438070544 136.055302609697 136.456578602576 136.883618470398 136.900720179577 137.430224872268 139.166492611909 139.694417416239 139.887982462314 140.170287712874 140.295328460363 141.429645456709 141.505792269336 141.734878711315 141.786039018741 142.072269794455 144.14117467471 145.253632003323 145.404414959935 146.224863748898 146.609902178671 147.21841192634 147.515448675502 147.568254997316 147.620695915116 148.880336980158 149.09750980813 149.723813570586 150.040544879447 153.423240139416 154.343106531955 154.424041575311 155.599130220186 156.612084628738 156.63122608518 156.719888872753 157.074847836365 157.552831048326 157.644100349267 157.710192204074 158.465103931879 159.407068375172 160.408061622935 161.231421173598 161.496422612666 161.917363093532 161.992758598629 162.254193613673 162.271087006449 162.306924698605 164.331848118007 164.929567401148 165.163203684353 165.465353220277 165.737781784349 166.377948886255 166.403905162346 167.410291530449 167.637747452845 169.492727748797 169.501111631793 170.469400250539 170.600564905122 170.606456521081 171.330353562075 171.553479972335 172.995785848386 173.650435030397 174.343580706408 174.437728194018 174.645034465348 175.013100015341 175.349330273758 175.377265300202 175.584254761538 175.695824365588 175.794739119318 175.804086854528 175.897846330129 176.687052691182 176.998351363171 177.125104215743 178.163119745964 178.374948296642 179.817220440845 181.133329872119 181.601899230981 182.211297632653 182.665279646315 182.681458048638 183.446873661772 183.536852332548 183.883452217317 184.369193296364 184.395034749262 184.825496567602 185.425982020873 185.561816056044 188.001382500041 189.362056627997 189.517540530482 189.993455384253 190.561753631882 190.945293459168 191.943879442913 192.389568731368 193.084407263256 193.739299948937 195.408267115864 195.595210363816 195.999200390516 196.253132951859 196.372509388283 196.490271674992 196.616070981548 196.71908700579 196.842516640189 198.287054436138 198.708543823845 199.381217540462 199.682057033724","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
